JGI_Abbreviation,Species,Order,Class,Clade,Phylum,Pathogenic,Lifestyle,S,N,B,OB,HB,MP,P,O,ECM,ENM,E,EP,L,LF,EL,C,PY,BY,T,A,AL,HY,BR,WR,Plant,Fungus,Vertebrate,Invertebrate,Gymnosperms,Angiosperms,Main Stem,Leaves,Roots
Ophpi1,Ophiostoma piliferum,Ophiostomatales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Phaal1,Phaeoacremonium aleophilum UCRPA7,Calosphaeriales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, E  S  HB ,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES
PhaeoFL0889_1,Phaeoacremonium sp. FL0889 v1.0,Calosphaeriales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, EL ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Plecu1,Plectosphaerella cucumerina DS2psM2a2 v1.0,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, E  N ,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES
Pocchl1,Pochonia chlamydosporia 170,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, MP  P  S  E ,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO
Podan3,Podospora anserina S mat+,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Podap1,Podospora appendiculata CBS 314.62 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Podcur1,Podospora curvicolla TEP21a v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Poddi1,Podospora didyma CBS 232.78 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pursp1,Purpureocillium sp. UdeA0106 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  P ,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO
Schves1,Schizothecium vesticola SMH3187-1 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sodal1,Sodiomyces alkalinus v1.0,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S  AL ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sorbr1,Sordaria brevicollis FGSC1904 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Stael1,Stachybotrys elegans MPI-CAGE-CH-0235 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, MP  E ,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Thian1,Thielavia antarctica CBS 123565 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S  L ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Thiar1,Thielavia arenaria CBS 508.74 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S  T ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Thihy1,Thielavia hyrcaniae CBS 757.83 v1.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Thite2,Thielavia terrestris v2.0,Sordariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S  T ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ThoPMI491_1,Thozetella sp. PMI_491 v2.0,Chaetosphaeriales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tolinf1,Tolypocladium inflatum NRRL 8044,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  P ,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO
Torra1,Torpedospora radiata JK5252C v1.0,Torpedosporales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Trias1,Trichoderma asperellum CBS 433.97 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  B  N  E ,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO
Triatrob1,Trichoderma atrobrunneum ITEM 908,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  B  N  E ,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO
Triat2,Trichoderma atroviride v2.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  B  N  E ,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Trici4,Trichoderma citrinoviride TUCIM 6016 v4.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  B  N  E  O ,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
Trigam1,Trichoderma gamsii T6085,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, MP  E ,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Triha1,Trichoderma harzianum CBS 226.95 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  B  N  E  O ,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Trilo3,Trichoderma longibrachiatum ATCC 18648 v3.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  N  O ,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO
TrireRUTC30_1,Trichoderma reesei RUT C-30 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
TriviGv29_8_2,Trichoderma virens Gv29-8 v2.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  MP  N  E  HY ,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
Truan1,Truncatella angustata MPI-SDFR-AT-0073 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, E  O  N? ,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO
Ustvir1,Ustilaginoidea virens,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, B ,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Valla1,Valetoniellopsis laxa CBS 191.97 v1.0,Hypocreales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Veral1,Verticillium alfalfae VaMs.102,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  HB  P ,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES
Verda1,Verticillium dahliae v1.0,Glomerallales,Sordariomycetes,Pezizomycotina,Ascomycota,YES, S  HB ,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES
Xylhyp1,Xylaria hypoxylon OSC100004 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
XylPMI506,Xylariales sp. PMI_506 v1.0,Xylariales,Sordariomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Acema1,Acephala macrosclerotiorum EW76-UTF0540 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Amore1,Amorphotheca resinae v1.0,Incertae sedis,Leotiomycetes,Pezizomycotina,Ascomycota,YES, S  O  ,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Ascsa1,Ascocoryne sarcoides NRRL50072,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Bissp1,Bisporella sp. PMI_857 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S  E ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Blugr2,Blumeria graminis f. sp. hordei DH14,Erysiphales,Leotiomycetes,Pezizomycotina,Ascomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Blugra1,Blumeria graminis f. sp. tritici 96224,Erysiphales,Leotiomycetes,Pezizomycotina,Ascomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Botci1,Botrytis cinerea v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,YES, N ,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Bulin1,Bulgaria inquinans CBS118.31 v1.0,Leotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Cadsp1,Cadophora sp. DSE1049 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Chalo1,Chalara longipes BDJ v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S  E ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Erynec1,Erysiphe necator c,Erysiphales,Leotiomycetes,Pezizomycotina,Ascomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NO
Golci1,Golovinomyces cichoracearum UCSC1 v1.0,Erysiphales,Leotiomycetes,Pezizomycotina,Ascomycota,YES, OB ,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO
Hymvar1,Hymenoscyphus varicosporoides PMI_453 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S  E ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lepor2,Leptodontidium orchidicola MPI-SDFR-AT-0119 v2.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Leptod1,Leptodontium sp. PMI_412 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lopnit1_1,Lophodermium nitens PLMe3-1-3 v1.0,Rhytismatales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lorju1,Loramyces juncicola 46458 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Lorma1,Loramyces macrosporus CBS235.53 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Melbi2,Meliniomyces bicolor E v2.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, ECM  ENM  S ,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Melva1,Meliniomyces variabilis F v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E  ENM  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Oidma1,Oidiodendron maius Zn v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E  ENM  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Phisc1,Phialocephala scopiformis 5WS22E1 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, E ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pseudest1,Pseudogymnoascus destructans 20631-21,Incertae sedis,Leotiomycetes,Pezizomycotina,Ascomycota,YES, P  S ,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO
Rhier1,Rhizoscyphus ericae UAMH 7357 v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, ENM  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sclsc1,Sclerotinia sclerotiorum v1.0,Helotiales,Leotiomycetes,Pezizomycotina,Ascomycota,YES, N ,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES
Spafl1,Spathularia flavida,Rhytismatales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Themi1,Thelebolus microsporus ATCC 90970 v1.0,Thelebolales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Thest1,Thelebolus stercoreus,Thelebolales,Leotiomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ascim1,Ascobolus immersus RN42 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Ascni1,Ascodesmis nigricans CBS 389.68 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, C  S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Calful1,Caloscypha fulgens ATCC 42695 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,YES, S  UNKNOWN ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO
Chove1,Choiromyces venosus 120613-1 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Geocar1,Geopyxis carbonaria DOB1671 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S  ECM  PY ,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Kalpfe1,Kalaharituber pfeilii F3 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Morco1,Morchella importuna CCBAS932 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S  PY ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pezech1,Peziza echinospora DOB1120 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S  PY ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Plemel1,Plectania melastoma CBS 918.72 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Pyrco1,Pyronema confluens CBS100304,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S  PY ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Sarco1,Sarcoscypha coccinea ATCC 58028 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Terbo2,Terfezia boudieri ATCC MYA-4762 v1.1,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM  ENM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tercla1,Terfezia claveryi T7 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM  ENM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tripra1,Tricharina praecox DOB2270 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, S  PY ,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Trihyb1,Trichophaea hybrida UTF0779 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tubae1,Tuber aestivum var. urcinatum v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM  ENM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tubbor1,Tuber borchii Tbo3840 v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Tubma1,Tuber magnatum v1.0,Pezizales,Pezizomycetes,Pezizomycotina,Ascomycota,NO, ECM ,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
